sentence,item_start,item_end,amount_start,amount_end
"On Monday, I invested 36127 rupees for buying goat.",46,50,22,27
"Today, I invested 20926 rupees for buying jamun saplings.",42,56,18,23
"During the season, Invested 18284 for purchasing goat.",49,53,28,33
"During the season, Last week, onion seeds was sold for 2498 rupees.",30,41,55,59
"During the season, Purchased jamun saplings at 27635 rupees.",29,43,47,52
"Early morning, Harvest of tractor repair brought in 21328 INR.",26,40,52,57
"On Monday, I invested 26096 rupees for buying irrigation pipe.",46,61,22,27
"Last month, Used 42127 rupees to buy pesticide.",37,46,17,22
"Last month, I invested 35436 rupees for buying coconut trees.",47,60,23,28
"During the season, I invested 29721 rupees for buying poultry feed.",54,66,30,35
"Just now, Received 12508 rupees from selling greenhouse setup.",45,61,19,24
"On Monday, Amount paid for greenhouse setup was 23172 rupees.",27,43,48,53
"Just now, Cost of organic compost amounted to 43205 rupees.",18,33,46,51
"Recently, Bought banana plants today and paid 33142 rupees.",17,30,46,51
"Today, Last week, tomato plants was sold for 23535 rupees.",18,31,45,50
"Today, Harvest of irrigation pipe brought in 3218 INR.",18,33,45,49
"Early morning, Around noon, I spent 6333 rupees on tomato plants.",51,64,36,40
"Yesterday, Harvested pesticide and sold for 12725 rupees.",21,30,44,49
"Today, Bought fertilizer today and paid 3208 rupees.",14,24,40,44
"During the season, Paid 33695 rupees to buy duck feed.",44,53,24,29
"During the season, Last week, harvesting machine was sold for 29335 rupees.",30,48,62,67
Sold irrigation pipe in the market and earned 30489 rupees.,5,20,46,51
"Yesterday, Bought fertilizer today and paid 31109 rupees.",18,28,44,49
"Just now, The cost of solar water pump was 892 rupees.",22,38,43,46
"On Monday, Sold irrigation pipe in the market and earned 8558 rupees.",16,31,57,61
"Just now, I gave 47907 rupees as investment for banana plants.",48,61,17,22
"On Monday, Acquired solar water pump by paying 40576 rupees.",20,36,47,52
"Today, Last week, organic compost was sold for 1921 rupees.",18,33,47,51
"Recently, Purchased duck feed at 17293 rupees.",20,29,33,38
"Just now, Paid 48277 rupees to buy banana plants.",35,48,15,20
"Just now, Received 44398 rupees from selling harvesting machine.",45,63,19,24
"Just now, Paid 35351 rupees to buy tomato plants.",35,48,15,20
"On Monday, Bought rice seeds today and paid 20766 rupees.",18,28,44,49
"Yesterday, The expense for cow was 8988 rupees.",27,30,35,39
"Last month, Invested 22870 for purchasing wheat seeds.",42,53,21,26
"During the season, Cost of wheat seeds amounted to 9188 rupees.",27,38,51,55
"In the evening, Amount paid for fertilizer was 6528 rupees.",32,42,47,51
"Last month, Harvest of coconut trees brought in 27337 INR.",23,36,48,53
"Early morning, Paid 13985 rupees to buy rice seeds.",40,50,20,25
"Last month, Acquired jamun saplings by paying 35612 rupees.",21,35,46,51
"Early morning, Cost of banana plants amounted to 20750 rupees.",23,36,49,54
"Last month, I invested 19897 rupees for buying onion seeds.",47,58,23,28
"During the season, Spent 39594 INR on purchasing tractor repair for my farm.",49,63,25,30
"Just now, Last week, poultry feed was sold for 12226 rupees.",21,33,47,52
I spent 25782 rupees on organic compost last month.,24,39,8,13
"Today, Harvested greenhouse setup and sold for 48604 rupees.",17,33,47,52
"Today, I gave 38101 rupees as investment for coconut trees.",45,58,14,19
"Today, Spent 42349 INR on purchasing cow for my farm.",37,40,13,18
"On Monday, Cost of banana plants amounted to 13598 rupees.",19,32,45,50
"During the season, I gave 30925 rupees as investment for harvesting machine.",57,75,26,31
"Just now, Sold wheat seeds in the market and earned 47189 rupees.",15,26,52,57
The cost of coconut trees was 30489 rupees.,12,25,30,35
"On Monday, Received 47397 rupees from selling pesticide.",46,55,20,25
"Early morning, Harvest of irrigation pipe brought in 38210 INR.",26,41,53,58
"Early morning, Acquired pesticide by paying 19288 rupees.",24,33,44,49
"During the season, I invested 5727 rupees for buying solar water pump.",53,69,30,34
"On Monday, The expense for coconut trees was 42392 rupees.",27,40,45,50
"Last month, Purchased irrigation pipe at 42608 rupees.",22,37,41,46
"Early morning, Purchased poultry feed at 3043 rupees.",25,37,41,45
"Yesterday, The cost of onion seeds was 10741 rupees.",23,34,39,44
"During the season, Around noon, I spent 3208 rupees on irrigation pipe.",55,70,40,44
"In the evening, Last week, fertilizer was sold for 16187 rupees.",27,37,51,56
"Last month, Received 43255 rupees from selling onion seeds.",47,58,21,26
"In the evening, Around noon, I spent 10948 rupees on tractor repair.",53,67,37,42
"Today, I invested 28448 rupees for buying goat.",42,46,18,23
"On Monday, Around noon, I spent 20242 rupees on tractor repair.",48,62,32,37
"Just now, I invested 14221 rupees for buying jamun saplings.",45,59,21,26
"Today, Invested 31978 for purchasing wheat seeds.",37,48,16,21
"Recently, I invested 13683 rupees for buying goat.",45,49,21,26
Amount paid for solar water pump was 26957 rupees.,16,32,37,42
I invested 16790 rupees for buying tomato plants.,35,48,11,16
"Recently, Amount paid for organic compost was 33230 rupees.",26,41,46,51
"Today, Around noon, I spent 41179 rupees on solar water pump.",44,60,28,33
"Today, Amount paid for pesticide was 45188 rupees.",23,32,37,42
"In the evening, Harvested poultry feed and sold for 37286 rupees.",26,38,52,57
"Just now, Last week, solar water pump was sold for 18265 rupees.",21,37,51,56
"On Monday, Bought pesticide today and paid 48703 rupees.",18,27,43,48
"During the season, Acquired poultry feed by paying 22580 rupees.",28,40,51,56
"Recently, Cost of wheat seeds amounted to 37535 rupees.",18,29,42,47
"Today, Purchased greenhouse setup at 414 rupees.",17,33,37,40
"During the season, Around noon, I spent 33142 rupees on onion seeds.",56,67,40,45
"Recently, Used 11612 rupees to buy mango saplings.",35,49,15,20
"Recently, Amount paid for wheat seeds was 31365 rupees.",26,37,42,47
"Yesterday, Around noon, I spent 20242 rupees on goat.",48,52,32,37
Acquired mango saplings by paying 31437 rupees.,9,23,34,39
"In the evening, Harvest of poultry feed brought in 23331 INR.",27,39,51,56
"Yesterday, Last week, cow was sold for 46308 rupees.",22,25,39,44
"Today, I invested 46727 rupees for buying rice seeds.",42,52,18,23
"Today, Acquired pesticide by paying 30842 rupees.",16,25,36,41
"Early morning, Amount paid for harvesting machine was 48636 rupees.",31,49,54,59
"Yesterday, I spent 28427 rupees on rice seeds last month.",35,45,19,24
"Early morning, Bought organic compost today and paid 12381 rupees.",22,37,53,58
"Recently, I invested 5808 rupees for buying jamun saplings.",44,58,21,25
"Last month, Sold jamun saplings in the market and earned 22392 rupees.",17,31,57,62
Invested 8793 for purchasing greenhouse setup.,29,45,9,13
"In the evening, Paid 25944 rupees to buy tomato plants.",41,54,21,26
"On Monday, Paid 12183 rupees to buy solar water pump.",36,52,16,21
"Just now, Purchased banana plants at 40207 rupees.",20,33,37,42
"Recently, I spent 3405 rupees on cow last month.",33,36,18,22
"Yesterday, Used 8633 rupees to buy organic compost.",35,50,16,20
"In the evening, Paid 46402 rupees to buy onion seeds.",41,52,21,26
"Early morning, Harvest of onion seeds brought in 17997 INR.",26,37,49,54
"On Monday, Around noon, I spent 11345 rupees on fertilizer.",48,58,32,37
"Today, Harvest of tractor repair brought in 17072 INR.",18,32,44,49
"Early morning, Bought cow today and paid 23076 rupees.",22,25,41,46
"Yesterday, I gave 47896 rupees as investment for banana plants.",49,62,18,23
"Yesterday, Harvest of mango saplings brought in 27055 INR.",22,36,48,53
"Early morning, Last week, solar water pump was sold for 24944 rupees.",26,42,56,61
"Recently, Harvested banana plants and sold for 49467 rupees.",20,33,47,52
"Last month, Bought jamun saplings today and paid 5354 rupees.",19,33,49,53
"Recently, Used 4867 rupees to buy banana plants.",34,47,15,19
"During the season, Spent 33055 INR on purchasing irrigation pipe for my farm.",49,64,25,30
"Recently, Amount paid for banana plants was 47656 rupees.",26,39,44,49
Harvest of mango saplings brought in 8079 INR.,11,25,37,41
"Yesterday, Harvest of wheat seeds brought in 45484 INR.",22,33,45,50
"During the season, I spent 42737 rupees on wheat seeds last month.",43,54,27,32
"Just now, I spent 29956 rupees on wheat seeds last month.",34,45,18,23
Bought tomato plants today and paid 18426 rupees.,7,20,36,41
"Yesterday, The cost of wheat seeds was 35780 rupees.",23,34,39,44
"Today, Sold irrigation pipe in the market and earned 943 rupees.",12,27,53,56
"During the season, Used 29103 rupees to buy tractor repair.",44,58,24,29
"Just now, I gave 48284 rupees as investment for jamun saplings.",48,62,17,22
"Early morning, Sold tractor repair in the market and earned 48703 rupees.",20,34,60,65
"In the evening, Amount paid for solar water pump was 10741 rupees.",32,48,53,58
"Today, Purchased rice seeds at 9188 rupees.",17,27,31,35
"Today, Received 49156 rupees from selling fertilizer.",42,52,16,21
"Just now, I spent 23907 rupees on fertilizer last month.",34,44,18,23
"Last month, The cost of banana plants was 43608 rupees.",24,37,42,47
"During the season, Bought rice seeds today and paid 25096 rupees.",26,36,52,57
"In the evening, Received 42138 rupees from selling jamun saplings.",51,65,25,30
"Last month, Acquired harvesting machine by paying 16934 rupees.",21,39,50,55
"Today, I spent 36241 rupees on banana plants last month.",31,44,15,20
I invested 8463 rupees for buying onion seeds.,34,45,11,15
"Just now, Last week, fertilizer was sold for 3309 rupees.",21,31,45,49
"On Monday, I spent 41339 rupees on onion seeds last month.",35,46,19,24
"Last month, I invested 45493 rupees for buying coconut trees.",47,60,23,28
"Recently, Bought goat today and paid 3750 rupees.",17,21,37,41
"On Monday, The cost of pesticide was 43610 rupees.",23,32,37,42
"Today, Paid 17072 rupees to buy harvesting machine.",32,50,12,17
"Recently, Received 27654 rupees from selling poultry feed.",45,57,19,24
"Last month, Harvested goat and sold for 42190 rupees.",22,26,40,45
"Today, Purchased jamun saplings at 23851 rupees.",17,31,35,40
"Yesterday, Harvest of jamun saplings brought in 42826 INR.",22,36,48,53
"Just now, Invested 46222 for purchasing irrigation pipe.",40,55,19,24
"Early morning, The cost of pesticide was 3882 rupees.",27,36,41,45
"In the evening, Sold wheat seeds in the market and earned 24824 rupees.",21,32,58,63
"Early morning, I spent 21966 rupees on banana plants last month.",39,52,23,28
"Yesterday, Harvest of jamun saplings brought in 43173 INR.",22,36,48,53
"On Monday, Last week, solar water pump was sold for 18090 rupees.",22,38,52,57
"In the evening, Paid 30227 rupees to buy jamun saplings.",41,55,21,26
"Last month, Purchased jamun saplings at 31812 rupees.",22,36,40,45
"On Monday, Acquired rice seeds by paying 48015 rupees.",20,30,41,46
"Recently, Acquired banana plants by paying 16196 rupees.",19,32,43,48
Purchased wheat seeds at 7293 rupees.,10,21,25,29
"Just now, The expense for jamun saplings was 44853 rupees.",26,40,45,50
"On Monday, I invested 19897 rupees for buying pesticide.",46,55,22,27
"Just now, Paid 6366 rupees to buy goat.",34,38,15,19
"Recently, I invested 26247 rupees for buying poultry feed.",45,57,21,26
"Early morning, The expense for harvesting machine was 28539 rupees.",31,49,54,59
"On Monday, Harvested harvesting machine and sold for 21118 rupees.",21,39,53,58
"Today, Paid 4796 rupees to buy tractor repair.",31,45,12,16
"During the season, Harvested fertilizer and sold for 14022 rupees.",29,39,53,58
"Just now, Harvest of solar water pump brought in 19442 INR.",21,37,49,54
"On Monday, Acquired fertilizer by paying 48277 rupees.",20,30,41,46
"Yesterday, Invested 19997 for purchasing banana plants.",41,54,20,25
"Early morning, I gave 43696 rupees as investment for fertilizer.",53,63,22,27
"Just now, I spent 47352 rupees on organic compost last month.",34,49,18,23
"Today, Around noon, I spent 26435 rupees on onion seeds.",44,55,28,33
"During the season, Around noon, I spent 28446 rupees on goat.",56,60,40,45
"Yesterday, Amount paid for fertilizer was 1370 rupees.",27,37,42,46
"Yesterday, Spent 18797 INR on purchasing duck feed for my farm.",41,50,17,22
Purchased jamun saplings at 36241 rupees.,10,24,28,33
"During the season, Amount paid for fertilizer was 8483 rupees.",35,45,50,54
"Just now, I spent 23978 rupees on banana plants last month.",34,47,18,23
"Early morning, I spent 31365 rupees on irrigation pipe last month.",39,54,23,28
"In the evening, Acquired onion seeds by paying 48324 rupees.",25,36,47,52
"Yesterday, I invested 32674 rupees for buying coconut trees.",46,59,22,27
"Recently, Paid 48045 rupees to buy mango saplings.",35,49,15,20
"Today, Last week, harvesting machine was sold for 14220 rupees.",18,36,50,55
"Just now, I invested 17648 rupees for buying rice seeds.",45,55,21,26
"During the season, Cost of banana plants amounted to 42119 rupees.",27,40,53,58
"On Monday, Used 15926 rupees to buy cow.",36,39,16,21
"On Monday, I gave 10964 rupees as investment for mango saplings.",49,63,18,23
"During the season, Bought harvesting machine today and paid 46887 rupees.",26,44,60,65
"During the season, I gave 38210 rupees as investment for irrigation pipe.",57,72,26,31
"Early morning, Purchased wheat seeds at 47995 rupees.",25,36,40,45
"In the evening, Invested 588 for purchasing tractor repair.",44,58,25,28
"On Monday, Paid 15280 rupees to buy duck feed.",36,45,16,21
"On Monday, I invested 36976 rupees for buying poultry feed.",46,58,22,27
Spent 26561 INR on purchasing fertilizer for my farm.,30,40,6,11
"In the evening, I invested 16108 rupees for buying solar water pump.",51,67,27,32
"Just now, Last week, rice seeds was sold for 49937 rupees.",21,31,45,50
"During the season, Invested 21702 for purchasing harvesting machine.",49,67,28,33
The cost of irrigation pipe was 48243 rupees.,12,27,32,37
"During the season, I gave 38120 rupees as investment for tractor repair.",57,71,26,31
"During the season, Bought jamun saplings today and paid 22870 rupees.",26,40,56,61
"Last month, Paid 32921 rupees to buy poultry feed.",37,49,17,22
"Around noon, I spent 6528 rupees on duck feed.",36,45,21,25
"Today, Amount paid for tomato plants was 30338 rupees.",23,36,41,46
"Last month, Invested 28358 for purchasing tomato plants.",42,55,21,26
"Recently, Around noon, I spent 663 rupees on tractor repair.",45,59,31,34
"Today, Cost of fertilizer amounted to 46616 rupees.",15,25,38,43
"Last month, Sold cow in the market and earned 33725 rupees.",17,20,46,51
"In the evening, Acquired cow by paying 33873 rupees.",25,28,39,44
"Recently, Spent 46706 INR on purchasing irrigation pipe for my farm.",40,55,16,21
"During the season, Sold cow in the market and earned 16790 rupees.",24,27,53,58
"Just now, Invested 16934 for purchasing pesticide.",40,49,19,24
"Recently, I gave 8808 rupees as investment for irrigation pipe.",47,62,17,21
"Last month, Around noon, I spent 1370 rupees on cow.",48,51,33,37
"In the evening, Cost of cow amounted to 3474 rupees.",24,27,40,44
"Last month, Harvested tomato plants and sold for 26032 rupees.",22,35,49,54
"Early morning, Harvested harvesting machine and sold for 34275 rupees.",25,43,57,62
"Recently, Acquired tomato plants by paying 30419 rupees.",19,32,43,48
"Early morning, Cost of solar water pump amounted to 6260 rupees.",23,39,52,56
"Today, Acquired harvesting machine by paying 20618 rupees.",16,34,45,50
"On Monday, Around noon, I spent 18284 rupees on onion seeds.",48,59,32,37
"Yesterday, Last week, harvesting machine was sold for 35215 rupees.",22,40,54,59
"Early morning, The expense for greenhouse setup was 13683 rupees.",31,47,52,57
"Last month, I gave 33177 rupees as investment for mango saplings.",50,64,19,24
"Just now, Sold duck feed in the market and earned 32567 rupees.",15,24,50,55
"During the season, Sold pesticide in the market and earned 18284 rupees.",24,33,59,64
"Early morning, Amount paid for jamun saplings was 1299 rupees.",31,45,50,54
The expense for wheat seeds was 20224 rupees.,16,27,32,37
"Recently, Used 1921 rupees to buy poultry feed.",34,46,15,19
"During the season, Harvested cow and sold for 30006 rupees.",29,32,46,51
"Yesterday, Used 26247 rupees to buy tractor repair.",36,50,16,21
"Recently, Received 43782 rupees from selling banana plants.",45,58,19,24
"Just now, Harvest of coconut trees brought in 5751 INR.",21,34,46,50
"Today, Paid 21114 rupees to buy rice seeds.",32,42,12,17
"Just now, Cost of pesticide amounted to 15415 rupees.",18,27,40,45
"Yesterday, I gave 42656 rupees as investment for tomato plants.",49,62,18,23
"Last month, The expense for tractor repair was 27635 rupees.",28,42,47,52
"In the evening, Spent 43450 INR on purchasing pesticide for my farm.",46,55,22,27
"On Monday, Invested 615 for purchasing organic compost.",39,54,20,23
"Recently, I invested 43255 rupees for buying fertilizer.",45,55,21,26
"In the evening, Sold tractor repair in the market and earned 28064 rupees.",21,35,61,66
"During the season, Last week, fertilizer was sold for 46519 rupees.",30,40,54,59
"Recently, Acquired harvesting machine by paying 43205 rupees.",19,37,48,53
"During the season, Purchased irrigation pipe at 18592 rupees.",29,44,48,53
"Recently, Amount paid for wheat seeds was 21118 rupees.",26,37,42,47
"On Monday, I invested 3779 rupees for buying duck feed.",45,54,22,26
"Recently, Acquired goat by paying 445 rupees.",19,23,34,37
"On Monday, Amount paid for banana plants was 11027 rupees.",27,40,45,50
Harvest of wheat seeds brought in 10700 INR.,11,22,34,39
"Today, Paid 19997 rupees to buy coconut trees.",32,45,12,17
Sold pesticide in the market and earned 25679 rupees.,5,14,40,45
"In the evening, Sold harvesting machine in the market and earned 7293 rupees.",21,39,65,69
"Today, Acquired organic compost by paying 7655 rupees.",16,31,42,46
"Yesterday, Around noon, I spent 47896 rupees on greenhouse setup.",48,64,32,37
"Today, I gave 23569 rupees as investment for onion seeds.",45,56,14,19
"In the evening, Received 15736 rupees from selling mango saplings.",51,65,25,30
"Today, Bought duck feed today and paid 25407 rupees.",14,23,39,44
"Yesterday, Spent 4582 INR on purchasing harvesting machine for my farm.",40,58,17,21
"Last month, Harvest of duck feed brought in 43216 INR.",23,32,44,49
"In the evening, Harvest of wheat seeds brought in 16674 INR.",27,38,50,55
"In the evening, Spent 42265 INR on purchasing greenhouse setup for my farm.",46,62,22,27
"On Monday, Spent 5270 INR on purchasing rice seeds for my farm.",40,50,17,21
"In the evening, Invested 9058 for purchasing jamun saplings.",45,59,25,29
"Today, The expense for harvesting machine was 33605 rupees.",23,41,46,51
"Early morning, The expense for duck feed was 39825 rupees.",31,40,45,50
"Just now, Paid 48591 rupees to buy cow.",35,38,15,20
"In the evening, The cost of organic compost was 26525 rupees.",28,43,48,53
"Early morning, The cost of tractor repair was 49736 rupees.",27,41,46,51
Spent 6260 INR on purchasing harvesting machine for my farm.,29,47,6,10
"Last month, Spent 10092 INR on purchasing cow for my farm.",42,45,18,23
Paid 12851 rupees to buy duck feed.,25,34,5,10
"Last month, The expense for solar water pump was 10949 rupees.",28,44,49,54
"Today, I gave 7779 rupees as investment for solar water pump.",44,60,14,18
"Early morning, Acquired greenhouse setup by paying 40750 rupees.",24,40,51,56
"On Monday, Sold organic compost in the market and earned 28539 rupees.",16,31,57,62
"During the season, The expense for mango saplings was 30227 rupees.",35,49,54,59
"Recently, Amount paid for poultry feed was 44826 rupees.",26,38,43,48
"During the season, Last week, fertilizer was sold for 9961 rupees.",30,40,54,58
"During the season, Amount paid for pesticide was 21822 rupees.",35,44,49,54
"Today, Invested 47214 for purchasing mango saplings.",37,51,16,21
"Today, Purchased cow at 38401 rupees.",17,20,24,29
"Yesterday, Sold onion seeds in the market and earned 26383 rupees.",16,27,53,58
"In the evening, Invested 26658 for purchasing fertilizer.",46,56,25,30
"Today, Last week, banana plants was sold for 21702 rupees.",18,31,45,50
"In the evening, Sold coconut trees in the market and earned 15166 rupees.",21,34,60,65
"Early morning, Last week, goat was sold for 3479 rupees.",26,30,44,48
I gave 24193 rupees as investment for solar water pump.,38,54,7,12
"Just now, Harvest of greenhouse setup brought in 9188 INR.",21,37,49,53
"Recently, I gave 39827 rupees as investment for pesticide.",48,57,17,22
Invested 42190 for purchasing jamun saplings.,30,44,9,14
"Today, Acquired greenhouse setup by paying 9982 rupees.",16,32,43,47
"Yesterday, Purchased solar water pump at 40263 rupees.",21,37,41,46
"On Monday, Received 42253 rupees from selling mango saplings.",46,60,20,25
Acquired duck feed by paying 26435 rupees.,9,18,29,34
"In the evening, I spent 36241 rupees on pesticide last month.",40,49,24,29
Harvest of organic compost brought in 1781 INR.,11,26,38,42
"Last month, Invested 14243 for purchasing tractor repair.",42,56,21,26
Spent 21675 INR on purchasing coconut trees for my farm.,30,43,6,11
"During the season, Bought organic compost today and paid 45795 rupees.",26,41,57,62
"Last month, Bought rice seeds today and paid 14801 rupees.",19,29,45,50
"In the evening, Acquired fertilizer by paying 36520 rupees.",25,35,46,51
"Yesterday, Received 20895 rupees from selling greenhouse setup.",46,62,20,25
"In the evening, I spent 30059 rupees on cow last month.",40,43,24,29
"Recently, Harvest of coconut trees brought in 181 INR.",21,34,46,49
"Yesterday, Amount paid for goat was 47386 rupees.",27,31,36,41
"Last month, The expense for fertilizer was 6549 rupees.",28,38,43,47
"Last month, Used 22836 rupees to buy irrigation pipe.",37,52,17,22
"Today, Paid 21118 rupees to buy tomato plants.",32,45,12,17
"Just now, Purchased jamun saplings at 5338 rupees.",20,34,38,42
"Last month, Amount paid for solar water pump was 30035 rupees.",28,44,49,54
"Just now, I spent 46887 rupees on tomato plants last month.",34,47,18,23
"Today, Invested 35217 for purchasing irrigation pipe.",37,52,16,21
"Early morning, Amount paid for pesticide was 41179 rupees.",31,40,45,50
"Recently, Last week, organic compost was sold for 25096 rupees.",21,36,50,55
"Early morning, Spent 8760 INR on purchasing mango saplings for my farm.",44,58,21,25
"Recently, Acquired jamun saplings by paying 160 rupees.",19,33,44,47
"Just now, Paid 13061 rupees to buy solar water pump.",35,51,15,20
"On Monday, Sold tractor repair in the market and earned 30427 rupees.",16,30,56,61
"Today, I spent 20497 rupees on fertilizer last month.",31,41,15,20
"Recently, Spent 42265 INR on purchasing pesticide for my farm.",40,49,16,21
"Today, I spent 45766 rupees on organic compost last month.",31,46,15,20
"Yesterday, Sold tractor repair in the market and earned 10948 rupees.",16,30,56,61
"Today, Spent 3043 INR on purchasing coconut trees for my farm.",36,49,13,17
The expense for poultry feed was 38403 rupees.,16,28,33,38
"Just now, Invested 47494 for purchasing tractor repair.",40,54,19,24
"Last month, Harvest of wheat seeds brought in 33873 INR.",23,34,46,51
"Just now, Invested 5338 for purchasing fertilizer.",39,49,19,23
"In the evening, The expense for poultry feed was 42269 rupees.",32,44,49,54
"Recently, Received 5573 rupees from selling organic compost.",44,59,19,23
"Yesterday, Cost of greenhouse setup amounted to 35612 rupees.",19,35,48,53
"Just now, I invested 48098 rupees for buying coconut trees.",45,58,21,26
"In the evening, Sold pesticide in the market and earned 28354 rupees.",21,30,56,61
"Last month, Spent 25944 INR on purchasing pesticide for my farm.",42,51,18,23
"On Monday, Last week, tractor repair was sold for 36058 rupees.",22,36,50,55
"Just now, Spent 36241 INR on purchasing coconut trees for my farm.",40,53,16,21
"Just now, Invested 4148 for purchasing tomato plants.",39,52,19,23
"Recently, I spent 33508 rupees on coconut trees last month.",34,47,18,23
"Yesterday, I gave 45914 rupees as investment for tractor repair.",49,63,18,23
"On Monday, The expense for goat was 3532 rupees.",27,31,36,40
"Recently, I invested 12763 rupees for buying jamun saplings.",45,59,21,26
"Early morning, Paid 16187 rupees to buy tomato plants.",40,53,20,25
"Today, Amount paid for solar water pump was 46288 rupees.",23,39,44,49
"Yesterday, I spent 47352 rupees on fertilizer last month.",35,45,19,24
"On Monday, The cost of wheat seeds was 47656 rupees.",23,34,39,44
"Just now, Used 9425 rupees to buy tractor repair.",34,48,15,19
"Today, Cost of fertilizer amounted to 49376 rupees.",15,25,38,43
"Recently, Acquired solar water pump by paying 27654 rupees.",19,35,46,51
"In the evening, Paid 8793 rupees to buy coconut trees.",40,53,21,25
"On Monday, Bought jamun saplings today and paid 30925 rupees.",18,32,48,53
"Recently, Invested 36445 for purchasing pesticide.",40,49,19,24
"In the evening, Amount paid for irrigation pipe was 47352 rupees.",32,47,52,57
"In the evening, I invested 30013 rupees for buying rice seeds.",51,61,27,32
"Last month, Invested 34235 for purchasing poultry feed.",42,54,21,26
"Around noon, I spent 10344 rupees on harvesting machine.",37,55,21,26
"Today, Acquired duck feed by paying 48694 rupees.",16,25,36,41
"Early morning, Bought mango saplings today and paid 34573 rupees.",22,36,52,57
"On Monday, I spent 17311 rupees on greenhouse setup last month.",35,51,19,24
"On Monday, Sold tomato plants in the market and earned 7806 rupees.",16,29,55,59
"Yesterday, Around noon, I spent 24181 rupees on organic compost.",48,63,32,37
"Today, Used 12887 rupees to buy organic compost.",32,47,12,17
"Just now, I spent 13598 rupees on organic compost last month.",34,49,18,23
"Last month, Harvest of rice seeds brought in 318 INR.",23,33,45,48
Harvest of wheat seeds brought in 45141 INR.,11,22,34,39
"Today, Acquired fertilizer by paying 12034 rupees.",16,26,37,42
"During the season, Around noon, I spent 46100 rupees on irrigation pipe.",56,71,40,45
"Recently, Acquired tractor repair by paying 25448 rupees.",19,33,44,49
"In the evening, Harvested tomato plants and sold for 28412 rupees.",26,39,53,58
"Early morning, Invested 17175 for purchasing mango saplings.",45,59,24,29
"During the season, Paid 34890 rupees to buy mango saplings.",44,58,24,29
"In the evening, I invested 6885 rupees for buying poultry feed.",50,62,27,31
"Early morning, Harvest of poultry feed brought in 46887 INR.",26,38,50,55
"Yesterday, Around noon, I spent 14243 rupees on solar water pump.",48,64,32,37
"Yesterday, Acquired irrigation pipe by paying 43039 rupees.",20,35,46,51
"Recently, Harvest of harvesting machine brought in 3464 INR.",21,39,51,55
"Today, Amount paid for fertilizer was 42898 rupees.",23,33,38,43
"In the evening, Sold irrigation pipe in the market and earned 42608 rupees.",21,36,62,67
"Last month, Used 35558 rupees to buy poultry feed.",37,49,17,22
"During the season, Paid 44260 rupees to buy pesticide.",44,53,24,29
"Just now, Around noon, I spent 2626 rupees on organic compost.",46,61,31,35
"In the evening, Acquired coconut trees by paying 1402 rupees.",25,38,49,53
Harvested harvesting machine and sold for 1340 rupees.,10,28,42,46
Amount paid for mango saplings was 33338 rupees.,16,30,35,40
"On Monday, Sold cow in the market and earned 37105 rupees.",16,19,45,50
"During the season, Invested 12381 for purchasing organic compost.",49,64,28,33
"On Monday, Used 32171 rupees to buy harvesting machine.",36,54,16,21
"Yesterday, The expense for banana plants was 43792 rupees.",27,40,45,50
"During the season, The cost of duck feed was 5774 rupees.",31,40,45,49
"Yesterday, Invested 46616 for purchasing harvesting machine.",41,59,20,25
"During the season, Invested 12610 for purchasing irrigation pipe.",49,64,28,33
"Today, I spent 21497 rupees on fertilizer last month.",31,41,15,20
"Early morning, Used 34111 rupees to buy jamun saplings.",40,54,20,25
"Early morning, The cost of poultry feed was 31882 rupees.",27,39,44,49
"Last month, Last week, pesticide was sold for 781 rupees.",23,32,46,49
Paid 19960 rupees to buy harvesting machine.,25,43,5,10
"Last month, Received 25303 rupees from selling coconut trees.",47,60,21,26
"Early morning, Used 8467 rupees to buy wheat seeds.",39,50,20,24
"Today, I invested 24950 rupees for buying mango saplings.",42,56,18,23
"In the evening, Sold solar water pump in the market and earned 14868 rupees.",21,37,63,68
"Today, Used 10344 rupees to buy irrigation pipe.",32,47,12,17
"On Monday, Acquired jamun saplings by paying 18176 rupees.",20,34,45,50
"In the evening, Last week, pesticide was sold for 711 rupees.",27,36,50,53
Harvest of onion seeds brought in 33055 INR.,11,22,34,39
"In the evening, Harvested cow and sold for 30699 rupees.",26,29,43,48
"Early morning, I gave 28224 rupees as investment for tomato plants.",53,66,22,27
"Last month, Invested 37400 for purchasing poultry feed.",42,54,21,26
"Last month, Spent 23998 INR on purchasing pesticide for my farm.",42,51,18,23
Used 21817 rupees to buy banana plants.,25,38,5,10
"Just now, Last week, greenhouse setup was sold for 31437 rupees.",21,37,51,56
"During the season, Spent 49736 INR on purchasing poultry feed for my farm.",49,61,25,30
"On Monday, Spent 47508 INR on purchasing banana plants for my farm.",41,54,17,22
"Just now, The cost of goat was 10092 rupees.",22,26,31,36
"Today, I spent 41805 rupees on duck feed last month.",31,40,15,20
"Just now, I gave 7630 rupees as investment for cow.",47,50,17,21
Received 39827 rupees from selling rice seeds.,35,45,9,14
"Early morning, Paid 29719 rupees to buy rice seeds.",40,50,20,25
"Recently, Cost of greenhouse setup amounted to 20497 rupees.",18,34,47,52
"Yesterday, Invested 12295 for purchasing wheat seeds.",41,52,20,25
"Yesterday, Around noon, I spent 42920 rupees on goat.",48,52,32,37
"Recently, I invested 35409 rupees for buying onion seeds.",45,56,21,26
"Yesterday, Received 3532 rupees from selling goat.",45,49,20,24
